Word,Count
*,26
der,13
,9
das,8
..,7
ist,6
zug,6
Spieler,6
bedeutet,5
muss,5
\Zug,\,5
1,5
0,4
am,4
erste,4
\erfolgreich,\,4
=,3
Spielphase,3
@result,3
wurde,3
bedutet,3
frei,3
2,3
illegaler,3
ungültig,3
den,3
werden,3
Spielbaum,3
nächster,3
Spiel,3
die,3
Runde,3
eine,3
gebildet,2
Ist,2
schon,2
Felder,2
Muehle,2
Gibt,2
Knoten,2
des,2
erlangt,2
Stein,2
Feld,2
in,2
wieder,2
Konstruktor,2
Kind,2
begonnen,2
SPieler,2
für,2
wenn,2
muele,2
@version,2
genau,2
Knotens,2
@author,2
Bruder,2
Spielfeld,2
dem,2
neue,2
gespeichert,2
Klasse,2
gezogen,1
entfernt,1
ihre,1
A.C.Hinrihs,1
dessen,1
gehören..,1
bewegt,1
Parameter,1
methode,1
wird,1
@param,1
zurück,1
zwei,1
soll,1
jetzt,1
\dar,\,1
\zurück,\,1
Parametern,1
kinder,1
wie,1
nichtmehr,1
hier,1
Springen,1
betragen,1
erfolgreich,1
\Springen,..\,1
Abstand,1
Koten,1
uns,1
{@link,1
anderen,1
sich,1
referenziert,1
Die,1
Es,1
\SPielfeld,\,1
...wir,1
Sie,1
hat,1
getNaechstenBruder()},1
und,1
darf,1
\gesetzt,\,1
Zielfeld,1
Nächsten,1
2015-02-19,1
beide,1
ab,1
auch,1
aSpielfeld:,1
um,1
über,1
Hinrichs,1
können,1
9,1
fertig,1
müssen,1
Nach,1
alle,1
unterschiedliche,1
sein..,1
Nächste,1
C,1
Existieren..,1
verwendet,1
im,1
falls,1
setz-phase,1
haben,1
entweder,1
Beschreiben,1
\Ziehen,\,1
aktuellen,1
dürfen,1
ohne,1
\Setzen,\,1
stellt,1
Inhaltsobjekt,1
gleichzeitig,1
A,1
Handeln,1
Steine,1
SPielbaum,1
als,1
mit,1
Zug,1
befinden..,1
Der,1
Mühle,1
geworden,1
oder,1
2015-02-22,1
